City,State,Old_Bucket,City_Bucket,Final_Population,Instances
PHALODI,RAJASTHAN,Tier 6,Tier 4,44868,94
PERINTHALMANNA,KERALA,Tier 6,Tier 2,44612,220
ANGUL,ORISSA,Tier 6,Tier 4,44390,1894
NANDIGAMA,ANDHRA PRADESH,Tier 6,Tier 4,44359,142
WANKANER,GUJARAT,Tier 6,Tier 4,43881,19
SILLOD,MAHARASHTRA,Tier 6,Tier 4,43867,2
ADDANKI H O,ANDHRA PRADESH,Tier 6,Tier 4,43850,11
PARAVUR,KERALA,Tier 6,Tier 4,43739,17
NORTH SIKKIM,SIKKIM,Tier 6,Tier 4,43354,7
AKIVIDU,ANDHRA PRADESH,Tier 6,Tier 4,43181,1
SHEIKHPURA,BIHAR,Tier 4,Tier 4,43113,36
PARLAKHEMUNDI,ORISSA,Tier 6,Tier 4,43097,8
GADARWARA,MADHYA PRADESH,Tier 6,Tier 4,43000,17
KALIMPONG,WEST BENGAL,Tier 6,Tier 4,42998,104
BARPETA,ASSAM,Tier 3,Tier 3,42649,169
MUDHOL,KARNATAKA,Tier 6,Tier 4,42461,1
PERIYAKULAM,TAMIL NADU,Tier 6,Tier 4,42012,23
HALOL,GUJARAT,Tier 6,Tier 4,42000,25
GOLAGHAT,ASSAM,Tier 4,Tier 4,41989,413
MEDAK,TELANGANA,Tier 3,Tier 3,41945,1177
RAJAURI,JAMMU & KASHMIR,Tier 5,Tier 4,41552,487
NAINITAL,UTTARANCHAL,Tier 4,Tier 4,41377,669
RAMACHANDRAPURAM,ANDHRA PRADESH,Tier 6,Tier 4,41370,20
NANGAL,PUNJAB,Tier 6,Tier 4,41172,31
POONCH,JAMMU & KASHMIR,Tier 6,Tier 4,40987,158
ARANTHANGI,TAMIL NADU,Tier 6,Tier 4,40814,18
MANAPPARAI,TAMIL NADU,Tier 6,Tier 4,40510,27
MAPUSA,GOA,Tier 6,Tier 4,40487,5807
SIVAGANGAI,TAMIL NADU,Tier 6,Tier 4,40403,210
BHALKI,KARNATAKA,Tier 6,Tier 4,40333,49
SIVAGANGA,TAMIL NADU,Tier 4,Tier 4,40220,29
PANJIM,GOA,Tier 6,Tier 4,40017,1389
PANAJI,GOA,Tier 6,Tier 4,40017,2778
BUCHCHIREDDI PALEM,ANDHRA PRADESH,Tier 6,Tier 4,40000,4
KOVVUR,ANDHRA PRADESH,Tier 6,Tier 4,39667,141
BHAVANI,TAMIL NADU,Tier 6,Tier 4,39225,100
PADRA,GUJARAT,Tier 6,Tier 4,39205,4
DWARKA,GUJARAT,Tier 6,Tier 4,39000,827
BETHAMCHERIA,ANDHRA PRADESH,Tier 6,Tier 4,38994,181
PARAVOOR,KERALA,Tier 6,Tier 4,38652,12
SUNDARGARH,ORISSA,Tier 3,Tier 3,38421,292
CHIKODI,KARNATAKA,Tier 6,Tier 4,38307,191
PATHANAMTHITTA,KERALA,Tier 4,Tier 4,38009,324
AGAR MALWA,MADHYA PRADESH,Tier 6,Tier 4,38000,297
TARAPUR,GUJARAT,Tier 6,Tier 4,38000,5
WADI,KARNATAKA,Tier 6,Tier 4,37988,106
PERAMBALUR,TAMIL NADU,Tier 5,Tier 4,37631,104
ZUNHEBOTO,NAGALAND,Tier 5,Tier 4,37447,4
ATTINGAL,KERALA,Tier 6,Tier 4,37346,267
NELAMANGALA,KARNATAKA,Tier 6,Tier 4,37232,240
NAKODAR,PUNJAB,Tier 6,Tier 4,36973,8
LUNAWADA,GUJARAT,Tier 6,Tier 4,36954,323
MURSHIDABAD,WEST BENGAL,Tier 1,Tier 3,36947,3034
MAHE,PONDICHERRY,Tier 6,Tier 4,36828,215
TUENSANG,NAGALAND,Tier 5,Tier 4,36774,4
ZIRA,PUNJAB,Tier 6,Tier 4,36732,31
SONEBHADRA,UTTAR PRADESH,Tier 6,Tier 4,36689,916
HOJAI,ASSAM,Tier 6,Tier 4,36544,2
KODAIKANAL,TAMIL NADU,Tier 6,Tier 4,36501,3
RAISEN,MADHYA PRADESH,Tier 4,Tier 4,35702,109
AMBASAMUDRAM,TAMIL NADU,Tier 6,Tier 4,35645,28
SIROHI,RAJASTHAN,Tier 4,Tier 4,35544,523
UDHAMPUR,JAMMU & KASHMIR,Tier 4,Tier 4,35507,693
PRATAPGARH,TRIPURA,Tier 3,Tier 3,35422,1014
UPPER SIANG,ARUNACHAL PRADESH,Tier 6,Tier 4,35320,3
WOKHA,NAGALAND,Tier 5,Tier 4,35004,15
DALHOUSIE,HIMACHAL PRADESH,Tier 6,Tier 4,35000,41
MEDCHAL,TELANGANA,Tier 6,Tier 4,35000,4646
ROHRU,HIMACHAL PRADESH,Tier 6,Tier 4,35000,799
BICHOLIM B,#N/A,Tier 6,Tier 4,35000,2109
RAMPUR BUSHAR,#N/A,Tier 6,Tier 4,35000,685
NALAGARH,HIMACHAL PRADESH,Tier 6,Tier 4,35000,1968
KAZHAKUTTAM,#N/A,Tier 6,Tier 4,35000,263
MATTANCHERRY,#N/A,Tier 6,Tier 4,35000,177
AKLUJ,MAHARASHTRA,Tier 6,Tier 4,35000,522
HATHIN,HARYANA,Tier 6,Tier 4,35000,310
SULLURPET,#N/A,Tier 6,Tier 4,35000,94
KALKA,HARYANA,Tier 6,Tier 4,35000,363
CSM NAGAR,#N/A,Tier 6,Tier 4,35000,3
SAKALESHAPUR,#N/A,Tier 6,Tier 4,35000,131
PARWANOO,HIMACHAL PRADESH,Tier 6,Tier 4,35000,281
PIDUGURALLA,#N/A,Tier 6,Tier 4,35000,72
MANALI,HIMACHAL PRADESH,Tier 6,Tier 4,35000,83
KOTPUTLI,RAJASTHAN,Tier 6,Tier 4,35000,327
RAVULAPALEM,#N/A,Tier 6,Tier 4,35000,129
PINJORE,HARYANA,Tier 6,Tier 4,35000,12
NIGRI,MAHARASHTRA,Tier 6,Tier 4,35000,33
ASSANDH,HARYANA,Tier 6,Tier 4,35000,136
BORARA,#N/A,Tier 6,Tier 4,35000,88
CHURAH,#N/A,Tier 6,Tier 4,35000,37
BADDI,HIMACHAL PRADESH,Tier 6,Tier 4,35000,266
GHUMARWIN,HIMACHAL PRADESH,Tier 6,Tier 4,35000,136
NIHAL SINGH WALA,#N/A,Tier 6,Tier 4,35000,4
BARSAR,HIMACHAL PRADESH,Tier 6,Tier 4,35000,98
AMB,HIMACHAL PRADESH,Tier 6,Tier 4,35000,115
PATAUDI,HARYANA,Tier 6,Tier 4,35000,776
THEOG,HIMACHAL PRADESH,Tier 6,Tier 4,35000,247
JUNNAR,MAHARASHTRA,Tier 6,Tier 4,35000,8
CHAUPAL,HIMACHAL PRADESH,Tier 6,Tier 4,35000,92
MADKERI,#N/A,Tier 6,Tier 4,35000,62
SONAPUR,WEST BENGAL,Tier 4,Tier 4,35000,70
NURPUR,HIMACHAL PRADESH,Tier 6,Tier 4,35000,273
RUDRA PRAYAG,UTTARANCHAL,Tier 6,Tier 4,35000,100
FEROZEPUR JHIRKA,HARYANA,Tier 6,Tier 4,35000,186
BAWAL,HARYANA,Tier 6,Tier 4,35000,289
KOSLI,#N/A,Tier 6,Tier 4,35000,271
PANTNAGAR,UTTARANCHAL,Tier 6,Tier 4,35000,12
GOREGAON,MAHARASHTRA,Tier 6,Tier 4,35000,44
DIAMOND HARBOUR,WEST BENGAL,Tier 6,Tier 4,35000,67
KHADOOR SAHIB,#N/A,Tier 6,Tier 4,35000,14
ALIBAG,MAHARASHTRA,Tier 6,Tier 4,35000,42
THIRUTHANI,#N/A,Tier 6,Tier 4,35000,14
UZHAVOOR,#N/A,Tier 6,Tier 4,35000,53
BIJAINAGAR,RAJASTHAN,Tier 6,Tier 4,35000,1
MAHAM,HARYANA,Tier 6,Tier 4,35000,28
SIWANI,HARYANA,Tier 6,Tier 4,35000,96
