City,State,Old_Bucket,City_Bucket,Final_Population,Instances
RAGHUNATHPUR,BIHAR,Tier 6,Tier 4,21932,182
CHAMOLI GOPESHWAR,UTTARANCHAL,Tier 6,Tier 4,21447,6
MUKERIAN,PUNJAB,Tier 6,Tier 4,21384,57
CHANNAGIRI,KARNATAKA,Tier 6,Tier 4,21313,3
SHEOHAR,BIHAR,Tier 4,Tier 4,21262,52
BOUDH,ORISSA,Tier 6,Tier 4,21000,47
ALANGULAM,TAMIL NADU,Tier 6,Tier 4,21000,1
MAHARAJGANJ,BIHAR,Tier 3,Tier 3,20860,244
MARIGAON,ASSAM,Tier 4,Tier 4,20811,22
PINDWARA,RAJASTHAN,Tier 6,Tier 4,20765,6
GURUVAYOOR,KERALA,Tier 6,Tier 4,20510,59
HONAVAR,KARNATAKA,Tier 6,Tier 4,20000,158
MUNDRA,GUJARAT,Tier 6,Tier 4,20000,33
ULUNDURPETTAI,TAMIL NADU,Tier 6,Tier 4,20000,34
KALPAKKAM,TAMIL NADU,Tier 6,Tier 4,20000,2
DHARAMPUR,GUJARAT,Tier 3,Tier 3,20000,4
BISWANATH CHARIALI,ASSAM,Tier 6,Tier 4,20000,3
KAMREJ,GUJARAT,Tier 6,Tier 4,20000,6
BADI,MADHYA PRADESH,Tier 6,Tier 4,19670,2
BOLLARAM,ANDHRA PRADESH,Tier 6,Tier 4,19385,1
SEPPA,ARUNACHAL PRADESH,Tier 6,Tier 4,19000,3
TEZU,ARUNACHAL PRADESH,Tier 6,Tier 4,19000,14
KHARKHODA,UTTAR PRADESH,Tier 6,Tier 4,18758,198
KHOWAI,TRIPURA,Tier 6,Tier 4,18526,25
AKKAYAPALLE,ANDHRA PRADESH,Tier 6,Tier 4,18247,2
CHANDIKHOL,ORISSA,Tier 6,Tier 4,18000,311
AMBAJI,GUJARAT,Tier 6,Tier 4,18000,2
NAGAMANGALA,KARNATAKA,Tier 6,Tier 4,17776,79
TANAKPUR,UTTARANCHAL,Tier 6,Tier 4,17626,27
UTTARKASHI,UTTARAKHAND,Tier 5,Tier 4,17475,163
KUDAL,GOA,Tier 6,Tier 4,17000,10
PERUNDURAI,TAMIL NADU,Tier 6,Tier 4,16973,145
JOSHIMATH,UTTARANCHAL,Tier 6,Tier 4,16709,5
IBRAHIMPATNAM,ANDHRA PRADESH,Tier 6,Tier 4,16338,3497
UDALGURI,ASSAM,Tier 6,Tier 4,15217,14
QUEPEM,GOA,Tier 6,Tier 4,15000,1195
SOUTH QUEPEM,GOA,Tier 6,Tier 4,15000,74
SATHANKULAM,TAMIL NADU,Tier 6,Tier 4,15000,2
AHMEDABAD CANTONMENT,GUJARAT,Tier 1,Tier 1,14713,419
NONGPOH,MEGHALAYA,Tier 6,Tier 4,14000,53
BAGHMARA,MEGHALAYA,Tier 6,Tier 4,14000,4
VIKASNAGAR,UTTARANCHAL,Tier 6,Tier 4,13927,12
AMETHI,UTTAR PRADESH,Tier 6,Tier 4,13530,335
ZIRO,ARUNACHAL PRADESH,Tier 6,Tier 4,13000,2
DHEMAJI,ASSAM,Tier 4,Tier 4,12816,86
GYANPUR,UTTAR PRADESH,Tier 6,Tier 4,12808,1
PALACOLE,ANDHRA PRADESH,Tier 6,Tier 4,12640,98
CANACONA,GOA,Tier 6,Tier 4,12000,209
BANDARULANKA,ANDHRA PRADESH,Tier 6,Tier 4,11470,1
BODELI,GUJARAT,Tier 6,Tier 4,11000,14
LAKHIPUR,ASSAM,Tier 6,Tier 4,10943,51
CHHAWLA,DELHI,Tier 6,Tier 1,10000,1
SULTANPUR,UTTARANCHAL,Tier 2,Tier 2,9881,2303
BAGESHWAR,UTTARAKHAND,Tier 5,Tier 4,9079,120
ALWARTHIRUNAGIRI,TAMIL NADU,Tier 6,Tier 4,8876,6
MANKAPUR,UTTAR PRADESH,Tier 6,Tier 4,8865,1
DIBANG VALLEY,ARUNACHAL PRADESH,Tier 5,Tier 4,8004,11
DOMMARA NANDYAL,ANDHRA PRADESH,Tier 6,Tier 4,7678,6
LALKUAN,UTTARAKHAND,Tier 6,Tier 4,7644,1
EKAMBARA KUPPAM,ANDHRA PRADESH,Tier 6,Tier 4,6797,5
KHARSAWAN,JHARKHAND,Tier 6,Tier 4,6789,12
BOMDILA,ARUNACHAL PRADESH,Tier 6,Tier 4,6600,15
ALIPORE H O,WEST BENGAL,Tier 6,Tier 4,5937,1846
CHINTALAVALASA,ANDHRA PRADESH,Tier 6,Tier 4,5921,2
KRISHNA,KARNATAKA,Tier 2,Tier 2,5500,203
PERNEM,GOA,Tier 6,Tier 4,5000,541
DEHRA,#N/A,Tier 6,Tier 4,5000,186
,#N/A,Tier 6,Tier 4,5000,#N/A
CHAMPAWAT,UTTARANCHAL,Tier 5,Tier 4,4801,67
SARKHEJ,GUJARAT,Tier 6,Tier 4,2765,2
GOA VELHA,GOA,Tier 6,Tier 4,2550,15
CHANDMARI,NAGALAND,Tier 6,Tier 4,2000,1
